emotion,V_mean,V_std,A_mean,A_std,D_mean,D_std
fun,6.8571,1.3015,5.8571,2.1993,6,1.5584
exciting,5.9286,2.0516,6.9286,1.9808,5.5,2.4128
happy,7.1429,1.1867,4.8571,1.4569,5.2143,1.319
joy,6.9333,2.3228,6.4667,1.9276,5.8,2.0067
cheerful,5.9286,1.7914,3.3571,1.342,4.9286,1.7914
love,6.5714,1.3997,4.2143,2.5122,5.4286,2.0603
lovely,6.4667,1.3597,4,1.7889,4.9333,1.9137
sentimental,4.2,1.4236,3.7333,1.8062,3.9333,1.9482
melancholy,3.3333,1.1926,4.4667,1.9956,3.2,1.376
sad,3.3333,1.3499,2.9333,1.6918,4.6667,2.1499
depressing,4.2,1.6411,3.6,1.2,4.6,1.8184
mellow,4.2,1.7963,3,1.5055,3.3333,1.7764
terrible,3.6667,1.4907,5.4667,2.0613,4.6,1.7436
shock,4.6667,1.4907,6.4,1.9253,4.9333,1.5691
hate,3.9333,2.0483,6.1333,2.0934,5.5333,1.8927
